Path Way,File Name,Camera,Datetime,Width,Height,Depth,Defect Type,xmin,ymin,xmax,ymax,Score
D:\data\vision_6830\image_data\inner_bore\ok\211202\flag\inner_bore_211202T073215.xml,inner_bore_211202T073215.xml,inner_bore,2021-12-02  07:32:15,1000,7990,1,Crack-outoffocus,423,5366,525,5392,0.85647124052048
D:\data\vision_6830\image_data\inner_bore\ok\211202\flag\inner_bore_211202T073431.xml,inner_bore_211202T073431.xml,inner_bore,2021-12-02  07:34:31,1000,7990,1,Crack-minor,209,5818,268,5842,0.89695900678635
D:\data\vision_6830\image_data\inner_bore\ok\211202\flag\inner_bore_211202T073739.xml,inner_bore_211202T073739.xml,inner_bore,2021-12-02  07:37:39,1000,7990,1,Crack,507,872,533,1071,0.6492338180542
D:\data\vision_6830\image_data\inner_bore\ok\211202\flag\inner_bore_211202T075700.xml,inner_bore_211202T075700.xml,inner_bore,2021-12-02  07:57:00,1000,7990,1,Crack-minor,264,4618,369,4637,0.8100671172142
D:\data\vision_6830\image_data\inner_bore\ok\211202\flag\inner_bore_211202T075843.xml,inner_bore_211202T075843.xml,inner_bore,2021-12-02  07:58:43,1000,7990,1,Crack,480,224,573,249,0.50497442483902
D:\data\vision_6830\image_data\inner_bore\ok\211202\flag\inner_bore_211202T082611.xml,inner_bore_211202T082611.xml,inner_bore,2021-12-02  08:26:11,1000,7990,1,Crack-minor,216,1781,279,1802,0.78270268440247
D:\data\vision_6830\image_data\inner_bore\ok\211202\flag\inner_bore_211202T082747.xml,inner_bore_211202T082747.xml,inner_bore,2021-12-02  08:27:47,1000,7990,1,Crack,434,3094,478,3200,0.75182443857193
D:\data\vision_6830\image_data\inner_bore\ok\211202\flag\inner_bore_211202T083017.xml,inner_bore_211202T083017.xml,inner_bore,2021-12-02  08:30:17,1000,7990,1,Crack-minor,275,3728,370,3748,0.51210290193558
D:\data\vision_6830\image_data\inner_bore\ok\211202\flag\inner_bore_211202T083137.xml,inner_bore_211202T083137.xml,inner_bore,2021-12-02  08:31:37,1000,7990,1,Crack-minor,271,2323,365,2339,0.50774329900742
D:\data\vision_6830\image_data\inner_bore\ok\211202\flag\inner_bore_211202T085401.xml,inner_bore_211202T085401.xml,inner_bore,2021-12-02  08:54:01,1000,7990,1,Crack-outoffocus,433,5366,552,5387,0.87296748161316
D:\data\vision_6830\image_data\inner_bore\ok\211202\flag\inner_bore_211202T092114.xml,inner_bore_211202T092114.xml,inner_bore,2021-12-02  09:21:14,1000,7990,1,Crack,505,7849,543,7983,0.76575493812561
D:\data\vision_6830\image_data\inner_bore\ok\211202\flag\inner_bore_211202T094031.xml,inner_bore_211202T094031.xml,inner_bore,2021-12-02  09:40:31,1000,7990,1,Crack,498,268,531,419,0.85721057653427
D:\data\vision_6830\image_data\inner_bore\ok\211202\flag\inner_bore_211202T095112.xml,inner_bore_211202T095112.xml,inner_bore,2021-12-02  09:51:12,1000,7990,1,Crack,530,961,560,1107,0.83170819282532
D:\data\vision_6830\image_data\inner_bore\ok\211202\flag\inner_bore_211202T100007.xml,inner_bore_211202T100007.xml,inner_bore,2021-12-02  00:00:07,1000,7990,1,Crack-minor,220,1239,283,1263,0.60070621967316
D:\data\vision_6830\image_data\inner_bore\ok\211202\flag\inner_bore_211202T100141.xml,inner_bore_211202T100141.xml,inner_bore,2021-12-02  00:14:01,1000,7990,1,Crack,494,1343,520,1485,0.67278110980988
D:\data\vision_6830\image_data\inner_bore\ok\211202\flag\inner_bore_211202T101234.xml,inner_bore_211202T101234.xml,inner_bore,2021-12-02  01:23:04,1000,7990,1,Crack,366,2209,387,2299,0.79955673217773
D:\data\vision_6830\image_data\inner_bore\ok\211202\flag\inner_bore_211202T101741.xml,inner_bore_211202T101741.xml,inner_bore,2021-12-02  01:07:41,1000,7990,1,Crack-minor,223,7610,287,7633,0.83126187324524
D:\data\vision_6830\image_data\inner_bore\ok\211202\flag\inner_bore_211202T101741.xml,inner_bore_211202T101741.xml,inner_bore,2021-12-02  01:07:41,1000,7990,1,Crack-minor,215,1995,278,2021,0.75480967760086
D:\data\vision_6830\image_data\inner_bore\ok\211202\flag\inner_bore_211202T101804.xml,inner_bore_211202T101804.xml,inner_bore,2021-12-02  01:08:04,1000,7990,1,Crack-minor,214,2250,276,2271,0.80865579843521
D:\data\vision_6830\image_data\inner_bore\ok\211202\flag\inner_bore_211202T102831.xml,inner_bore_211202T102831.xml,inner_bore,2021-12-02  02:08:31,1000,7990,1,Crack-minor,271,1728,359,1751,0.71690535545349
D:\data\vision_6830\image_data\inner_bore\ok\211202\flag\inner_bore_211202T103028.xml,inner_bore_211202T103028.xml,inner_bore,2021-12-02  03:02:08,1000,7990,1,Crack,411,3532,435,3682,0.836858689785
