Path Way,File Name,Width,Height,Depth,Defect Type,xmin,ymin,xmax,ymax,Score
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T230826.xml,inner_bore_211123T230826.xml,1000,7990,1,Crack,294,3268,397,3293,0.98991268873215
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T231312.xml,inner_bore_211123T231312.xml,1000,7990,1,Crack,601,5062,637,5200,0.96169537305832
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T231318.xml,inner_bore_211123T231318.xml,1000,7990,1,Crack,493,6136,536,6270,0.99976819753647
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T231318.xml,inner_bore_211123T231318.xml,1000,7990,1,Crack,548,2824,614,2862,0.9989161491394
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T231327.xml,inner_bore_211123T231327.xml,1000,7990,1,Crack,495,944,557,1044,0.99906438589096
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T231919.xml,inner_bore_211123T231919.xml,1000,7990,1,Chip,209,421,304,1023,0.99982017278671
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T232501.xml,inner_bore_211123T232501.xml,1000,7990,1,Crack,428,3750,485,3948,0.99861204624176
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T232501.xml,inner_bore_211123T232501.xml,1000,7990,1,Crack-outoffocus,272,5940,347,5966,0.71402871608734
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T232849.xml,inner_bore_211123T232849.xml,1000,7990,1,Crack-minor,304,3393,392,3417,0.96775805950165
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T232849.xml,inner_bore_211123T232849.xml,1000,7990,1,Crack,346,7082,480,7108,0.54199659824371
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T232912.xml,inner_bore_211123T232912.xml,1000,7990,1,Chip,206,442,301,1032,0.99990427494049
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T233318.xml,inner_bore_211123T233318.xml,1000,7990,1,Crack,576,1883,611,2016,0.99224233627319
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T234446.xml,inner_bore_211123T234446.xml,1000,7990,1,Crack,493,234,523,391,0.9965877532959
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T234535.xml,inner_bore_211123T234535.xml,1000,7990,1,Crack,624,1020,658,1164,0.99987030029297
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T235212.xml,inner_bore_211123T235212.xml,1000,7990,1,Crack,453,6314,533,6465,0.96239233016968
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T235212.xml,inner_bore_211123T235212.xml,1000,7990,1,Crack,669,6773,712,6846,0.79018956422806
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T235651.xml,inner_bore_211123T235651.xml,1000,7990,1,Crack,420,0,465,182,0.99849903583527
D:\data\vision_6830\image_data\inner_bore\nok\211123\flag\inner_bore_211123T072445.xml,inner_bore_211123T072445.xml,1000,7990,1,Crack,281,4848,346,4894,0.93763387203217
D:\data\vision_6830\image_data\inner_bore\nok\211123\flag\inner_bore_211123T072934.xml,inner_bore_211123T072934.xml,1000,7990,1,Crack,213,2730,272,2766,0.91217929124832
D:\data\vision_6830\image_data\inner_bore\nok\211123\flag\inner_bore_211123T074533.xml,inner_bore_211123T074533.xml,1000,7990,1,Crack,595,264,632,404,0.9216251373291
D:\data\vision_6830\image_data\inner_bore\nok\211123\flag\inner_bore_211123T075737.xml,inner_bore_211123T075737.xml,1000,7990,1,Crack-outoffocus,486,7110,557,7131,0.93918293714523
D:\data\vision_6830\image_data\inner_bore\nok\211123\flag\inner_bore_211123T080909.xml,inner_bore_211123T080909.xml,1000,7990,1,Crack-outoffocus,531,5695,641,5729,0.90881425142288
D:\data\vision_6830\image_data\inner_bore\nok\211123\flag\inner_bore_211123T081607.xml,inner_bore_211123T081607.xml,1000,7990,1,Crack,463,6947,502,7054,0.91474860906601
D:\data\vision_6830\image_data\inner_bore\nok\211123\flag\inner_bore_211123T085032.xml,inner_bore_211123T085032.xml,1000,7990,1,Crack,517,5558,559,5680,0.93364375829697
D:\data\vision_6830\image_data\inner_bore\nok\211123\flag\inner_bore_211123T085305.xml,inner_bore_211123T085305.xml,1000,7990,1,Crack-minor,219,7155,293,7183,0.9386579990387
